epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,859.612,1.50951,0.65204,3.41082,1.3887,0.05027,0.08333,0.04183,0.02422,0.04336,0.25,0.05077,0.02608,1.41838,0.86422,25.4633,1.25992,0.000332682,0.000332682,0.000332682
23,893.183,1.41978,1.38834,2.57293,1.54661,0.43753,0.38889,0.39064,0.1976,0.43753,0.38889,0.40621,0.19077,1.30088,0.93827,16.9551,1.27532,0.000344168,0.000344168,0.000344168
24,925.001,1.49241,1.15916,2.48371,1.2119,0.43753,0.38889,0.39064,0.1976,0.43753,0.38889,0.40621,0.19077,1.30088,0.93827,16.9551,1.27532,0.000355258,0.000355258,0.000355258
25,957.576,1.54152,1.09964,2.42545,0.94127,0.05568,0.47222,0.03503,0.01953,0.06079,0.52778,0.04635,0.0252,1.16196,1.07517,20.1251,1.26756,0.000365952,0.000365952,0.000365952
26,991.978,1.79157,0.87672,2.38727,1.76041,0.05568,0.47222,0.03503,0.01953,0.06079,0.52778,0.04635,0.0252,1.16196,1.07517,20.1251,1.26756,0.00037625,0.00037625,0.00037625
27,1022.99,0.70642,0.34604,2.26578,0.97961,0.09764,0.44444,0.05612,0.02844,0.09764,0.44444,0.06952,0.035,1.22205,1.3485,13.712,1.36885,0.000386152,0.000386152,0.000386152
28,1054.06,1.07971,1.60815,2.29218,0.89675,0.09764,0.44444,0.05612,0.02844,0.09764,0.44444,0.06952,0.035,1.22205,1.3485,13.712,1.36885,0.000395658,0.000395658,0.000395658
29,1085.65,1.31782,2.16663,3.59306,1.04268,0.14823,0.44444,0.10533,0.04319,0.14823,0.44444,0.11421,0.05661,1.32857,1.2824,12.9774,1.41355,0.000404768,0.000404768,0.000404768
30,1117.26,1.08129,1.0829,4.72357,1.41507,0.14823,0.44444,0.10533,0.04319,0.14823,0.44444,0.11421,0.05661,1.32857,1.2824,12.9774,1.41355,0.000413482,0.000413482,0.000413482
31,1148.52,0.97974,0.77691,2.15113,1.19465,0.32298,0.41667,0.27161,0.10523,0.32298,0.41667,0.2786,0.14689,1.35421,1.22679,9.2142,1.40613,0.0004218,0.0004218,0.0004218
32,1179.05,1.27503,0.6939,3.07725,1.72493,0.32298,0.41667,0.27161,0.10523,0.32298,0.41667,0.2786,0.14689,1.35421,1.22679,9.2142,1.40613,0.000429722,0.000429722,0.000429722
33,1209.38,1.12212,1.04979,1.63312,1.12593,0.35017,0.5,0.45284,0.18589,0.35017,0.5,0.45772,0.24508,1.27723,1.311,11.056,1.33264,0.000437248,0.000437248,0.000437248
34,1241.02,1.63836,0.78784,1.39845,1.09292,0.35017,0.5,0.45284,0.18589,0.35017,0.5,0.45772,0.24508,1.27723,1.311,11.056,1.33264,0.000444378,0.000444378,0.000444378
35,1273.92,1.92397,0.59802,2.05339,1.34704,0.10315,0.5,0.41432,0.16788,0.10315,0.5,0.4166,0.20575,1.34367,1.33087,15.6483,1.32958,0.000451112,0.000451112,0.000451112
36,1308.04,1.19245,0.515,1.48331,1.35273,0.10315,0.5,0.41432,0.16788,0.10315,0.5,0.4166,0.20575,1.34367,1.33087,15.6483,1.32958,0.00045745,0.00045745,0.00045745
37,1341.26,1.16203,0.43685,1.37634,0.98734,0.29238,0.47222,0.38573,0.15263,0.30958,0.5,0.45035,0.22104,1.47225,1.37493,10.1508,1.39453,0.000463392,0.000463392,0.000463392
38,1373.72,1.54009,0.44846,2.1706,2.11923,0.29238,0.47222,0.38573,0.15263,0.30958,0.5,0.45035,0.22104,1.47225,1.37493,10.1508,1.39453,0.000468938,0.000468938,0.000468938
39,1409.13,1.74901,0.33164,3.88562,1.75019,0.37099,0.44444,0.30411,0.10737,0.61315,0.39648,0.38053,0.16761,1.79569,1.58734,4.61819,1.66513,0.000474088,0.000474088,0.000474088
40,1443.46,1.43021,0.99177,1.96206,1.59922,0.37099,0.44444,0.30411,0.10737,0.61315,0.39648,0.38053,0.16761,1.79569,1.58734,4.61819,1.66513,0.000478842,0.000478842,0.000478842
41,1481.96,1.45073,2.51436,1.90949,1.24101,0.43759,0.33333,0.26402,0.08892,0.44515,0.38889,0.28005,0.13157,1.84735,1.58889,4.55167,1.73213,0.0004832,0.0004832,0.0004832
42,1514.45,1.24062,0.18663,1.51707,1.09353,0.43759,0.33333,0.26402,0.08892,0.44515,0.38889,0.28005,0.13157,1.84735,1.58889,4.55167,1.73213,0.000487162,0.000487162,0.000487162
43,1544.51,1.12866,0.73018,1.96907,1.06755,0.42206,0.44444,0.30937,0.12364,0.41289,0.44444,0.31441,0.15594,1.79233,1.74322,6.52283,1.67037,0.000490728,0.000490728,0.000490728
44,1575.67,0.89591,0.41192,1.24261,1.18689,0.42206,0.44444,0.30937,0.12364,0.41289,0.44444,0.31441,0.15594,1.79233,1.74322,6.52283,1.67037,0.000493898,0.000493898,0.000493898
45,1612.03,1.02044,0.0886,1.05237,1.03584,0.3042,0.5,0.37994,0.16155,0.3042,0.5,0.38161,0.16606,1.78958,1.94668,8.81521,1.67752,0.000496672,0.000496672,0.000496672
46,1643.43,1.19166,0.63773,1.49872,1.21845,0.3042,0.5,0.37994,0.16155,0.3042,0.5,0.38161,0.16606,1.78958,1.94668,8.81521,1.67752,0.00049905,0.00049905,0.00049905
47,1673.06,1.18476,0.71247,1.58586,1.08365,0.33123,0.5,0.30168,0.12499,0.33123,0.5,0.30416,0.13293,1.84736,2.17282,9.11799,1.75728,0.000501032,0.000501032,0.000501032
48,1702.9,1.10009,0.58639,1.67113,1.01794,0.33123,0.5,0.30168,0.12499,0.33123,0.5,0.30416,0.13293,1.84736,2.17282,9.11799,1.75728,0.000502618,0.000502618,0.000502618
49,1735.2,2.15663,0.85965,2.19989,2.05643,0.4177,0.5,0.44001,0.17418,0.4177,0.5,0.44095,0.1961,1.8155,2.23693,8.99917,1.73532,0.000503808,0.000503808,0.000503808
50,1766.42,0.91848,0.26812,1.42871,1.12345,0.4177,0.5,0.44001,0.17418,0.4177,0.5,0.44095,0.1961,1.8155,2.23693,8.99917,1.73532,0.000504602,0.000504602,0.000504602
51,1795.66,1.09101,0.26904,1.95413,1.27596,0.62385,0.41667,0.40803,0.16728,0.62385,0.41667,0.41027,0.2593,1.71619,2.11548,6.11494,1.57979,0.000505,0.000505,0.000505
52,1824.96,1.60601,0.82253,1.62559,1.16404,0.62385,0.41667,0.40803,0.16728,0.62385,0.41667,0.41027,0.2593,1.71619,2.11548,6.11494,1.57979,0.000505002,0.000505002,0.000505002
53,1854.29,1.62276,3.098,2.46751,0.97847,0.62385,0.41667,0.40803,0.16728,0.62385,0.41667,0.41027,0.2593,1.71619,2.11548,6.11494,1.57979,0.000504608,0.000504608,0.000504608
54,1883.74,1.554,0.80886,1.30283,0.9522,0.64723,0.38889,0.39125,0.17175,0.64723,0.38889,0.39091,0.25792,1.66553,1.86944,4.3195,1.49838,0.000503818,0.000503818,0.000503818
55,1912.87,1.21387,0.4428,1.28206,1.55808,0.64723,0.38889,0.39125,0.17175,0.64723,0.38889,0.39091,0.25792,1.66553,1.86944,4.3195,1.49838,0.000502632,0.000502632,0.000502632
56,1942.01,1.70646,0.20608,2.45971,1.55655,0.64723,0.38889,0.39125,0.17175,0.64723,0.38889,0.39091,0.25792,1.66553,1.86944,4.3195,1.49838,0.00050105,0.00050105,0.00050105
57,1971.19,1.99818,0.42449,1.13055,1.01835,0.58485,0.36111,0.39251,0.16231,0.58485,0.36111,0.39188,0.26847,1.72614,1.84461,3.79648,1.49781,0.000499072,0.000499072,0.000499072
58,2001.92,1.94515,0.62623,0.85108,1.21863,0.58485,0.36111,0.39251,0.16231,0.58485,0.36111,0.39188,0.26847,1.72614,1.84461,3.79648,1.49781,0.000496698,0.000496698,0.000496698
59,2031.88,1.3058,0.21769,1.44157,1.49878,0.58485,0.36111,0.39251,0.16231,0.58485,0.36111,0.39188,0.26847,1.72614,1.84461,3.79648,1.49781,0.000493928,0.000493928,0.000493928
60,2062.24,1.78757,1.07913,1.15022,1.20719,0.43799,0.44444,0.37922,0.17546,0.43799,0.44444,0.37886,0.23462,1.79894,1.84675,3.69458,1.53294,0.000490762,0.000490762,0.000490762
61,2092.24,1.31435,0.32742,1.23451,1.54541,0.43799,0.44444,0.37922,0.17546,0.43799,0.44444,0.37886,0.23462,1.79894,1.84675,3.69458,1.53294,0.0004872,0.0004872,0.0004872
62,2121.74,1.1541,0.30644,1.15891,1.21699,0.43799,0.44444,0.37922,0.17546,0.43799,0.44444,0.37886,0.23462,1.79894,1.84675,3.69458,1.53294,0.000483242,0.000483242,0.000483242
63,2151.11,1.08682,0.61029,1.17151,1.06676,0.63425,0.3855,0.36433,0.16253,0.63425,0.3855,0.36427,0.19579,1.86783,1.931,3.14617,1.57169,0.000478888,0.000478888,0.000478888
64,2180.85,1.32508,1.17318,0.9634,0.98983,0.63425,0.3855,0.36433,0.16253,0.63425,0.3855,0.36427,0.19579,1.86783,1.931,3.14617,1.57169,0.000474138,0.000474138,0.000474138
65,2210.85,1.23191,1.27813,0.90711,1.24959,0.63425,0.3855,0.36433,0.16253,0.63425,0.3855,0.36427,0.19579,1.86783,1.931,3.14617,1.57169,0.000468992,0.000468992,0.000468992
66,2243.45,1.1242,0.29338,0.98886,1.07634,0.82739,0.39982,0.40775,0.18244,0.82739,0.39982,0.40761,0.23897,1.93496,1.95313,3.1966,1.58894,0.00046345,0.00046345,0.00046345
67,2274.72,1.58783,1.98822,1.16441,1.0859,0.82739,0.39982,0.40775,0.18244,0.82739,0.39982,0.40761,0.23897,1.93496,1.95313,3.1966,1.58894,0.000457512,0.000457512,0.000457512
68,2303.9,1.11848,0.7653,1.00808,1.47211,0.82739,0.39982,0.40775,0.18244,0.82739,0.39982,0.40761,0.23897,1.93496,1.95313,3.1966,1.58894,0.000451178,0.000451178,0.000451178
69,2333.43,0.7855,0.33558,1.15665,1.03937,0.98785,0.44444,0.45511,0.20605,0.98785,0.44444,0.45496,0.24591,1.83054,2.02341,2.85441,1.58608,0.000444448,0.000444448,0.000444448
70,2362.85,1.10088,0.38368,0.97561,1.12886,0.98785,0.44444,0.45511,0.20605,0.98785,0.44444,0.45496,0.24591,1.83054,2.02341,2.85441,1.58608,0.000437322,0.000437322,0.000437322
71,2391.95,0.81123,1.12078,1.48015,0.98259,0.98785,0.44444,0.45511,0.20605,0.98785,0.44444,0.45496,0.24591,1.83054,2.02341,2.85441,1.58608,0.0004298,0.0004298,0.0004298
72,2422.05,1.09791,0.71202,0.85343,0.82859,0.92583,0.44444,0.46347,0.20706,0.92583,0.44444,0.46335,0.23772,1.86947,2.20652,2.90292,1.55753,0.000421882,0.000421882,0.000421882
73,2451.2,1.13966,0.33839,1.18593,1.17655,0.92583,0.44444,0.46347,0.20706,0.92583,0.44444,0.46335,0.23772,1.86947,2.20652,2.90292,1.55753,0.000413568,0.000413568,0.000413568
74,2479.69,0.79163,0.99017,0.8292,0.95322,0.92583,0.44444,0.46347,0.20706,0.92583,0.44444,0.46335,0.23772,1.86947,2.20652,2.90292,1.55753,0.000404858,0.000404858,0.000404858
75,2508.21,1.05966,0.17664,0.80971,1.1082,0.84841,0.46664,0.46716,0.20936,0.84841,0.46664,0.46708,0.22884,1.88593,2.47369,2.90059,1.54595,0.000395752,0.000395752,0.000395752
76,2537.05,1.15077,0.46705,2.41477,1.53886,0.84841,0.46664,0.46716,0.20936,0.84841,0.46664,0.46708,0.22884,1.88593,2.47369,2.90059,1.54595,0.00038625,0.00038625,0.00038625
77,2565.58,1.27348,0.7372,0.97033,1.1248,0.84841,0.46664,0.46716,0.20936,0.84841,0.46664,0.46708,0.22884,1.88593,2.47369,2.90059,1.54595,0.000376352,0.000376352,0.000376352
78,2594.01,0,0,2.24623,0,0.89399,0.46869,0.46849,0.193,0.89399,0.46869,0.46853,0.22454,1.91295,2.60921,2.97369,1.58561,0.000366058,0.000366058,0.000366058
79,2626.35,1.25092,0.99849,1.01785,0.9764,0.89399,0.46869,0.46849,0.193,0.89399,0.46869,0.46853,0.22454,1.91295,2.60921,2.97369,1.58561,0.000355368,0.000355368,0.000355368
80,2657.8,1.11531,1.0857,1.02509,0.96149,0.89399,0.46869,0.46849,0.193,0.89399,0.46869,0.46853,0.22454,1.91295,2.60921,2.97369,1.58561,0.000344282,0.000344282,0.000344282
81,2689.22,1.27631,0.33362,1.03352,0.87038,0.88971,0.44444,0.47177,0.19409,0.88971,0.44444,0.47185,0.21789,1.97064,2.5782,2.91087,1.61801,0.0003328,0.0003328,0.0003328
82,2720.35,0.76573,0.83616,1.22875,0.97894,0.88971,0.44444,0.47177,0.19409,0.88971,0.44444,0.47185,0.21789,1.97064,2.5782,2.91087,1.61801,0.000320922,0.000320922,0.000320922
83,2749.38,1.05076,0.55384,0.96744,1.05817,0.88971,0.44444,0.47177,0.19409,0.88971,0.44444,0.47185,0.21789,1.97064,2.5782,2.91087,1.61801,0.000308648,0.000308648,0.000308648
84,2780.03,0.95636,0.51598,0.99914,1.02391,0.94403,0.46868,0.48197,0.20653,0.94403,0.46868,0.48257,0.22172,1.98338,2.45294,2.82676,1.62296,0.000295978,0.000295978,0.000295978
85,2810.66,0.66306,0.63484,0.87272,0.9737,0.94403,0.46868,0.48197,0.20653,0.94403,0.46868,0.48257,0.22172,1.98338,2.45294,2.82676,1.62296,0.000282912,0.000282912,0.000282912
86,2839.91,0.82689,0.5546,0.84318,1.01688,0.94403,0.46868,0.48197,0.20653,0.94403,0.46868,0.48257,0.22172,1.98338,2.45294,2.82676,1.62296,0.00026945,0.00026945,0.00026945
87,2876.89,0.88789,0.33946,0.90922,1.13238,0.94403,0.46868,0.48197,0.20653,0.94403,0.46868,0.48257,0.22172,1.98338,2.45294,2.82676,1.62296,0.000255592,0.000255592,0.000255592
88,2910.92,2.05476,1.49827,3.74515,1.84168,0.98975,0.44444,0.49086,0.20638,0.98975,0.44444,0.49191,0.25631,1.92506,2.37265,2.80571,1.59062,0.000241338,0.000241338,0.000241338
89,2948.93,1.20232,0.72715,0.91431,1.40068,0.98975,0.44444,0.49086,0.20638,0.98975,0.44444,0.49191,0.25631,1.92506,2.37265,2.80571,1.59062,0.000226688,0.000226688,0.000226688
90,2980.47,0.91202,1.31571,0.69239,0.86625,0.98975,0.44444,0.49086,0.20638,0.98975,0.44444,0.49191,0.25631,1.92506,2.37265,2.80571,1.59062,0.000211642,0.000211642,0.000211642
91,3019.44,0.72869,0.19554,0.82495,1.08525,0.98975,0.44444,0.49086,0.20638,0.98975,0.44444,0.49191,0.25631,1.92506,2.37265,2.80571,1.59062,0.0001962,0.0001962,0.0001962
92,3059.32,0.96707,0.80531,1.04683,1.47313,0.89578,0.47773,0.49264,0.22676,0.89578,0.47773,0.49439,0.26229,1.86861,2.37424,2.80319,1.55942,0.000180362,0.000180362,0.000180362
93,3095.41,0.85975,0.43654,0.8091,0.97712,0.89578,0.47773,0.49264,0.22676,0.89578,0.47773,0.49439,0.26229,1.86861,2.37424,2.80319,1.55942,0.000164128,0.000164128,0.000164128
94,3131.32,0.93957,0.18535,1.44078,1.00641,0.89578,0.47773,0.49264,0.22676,0.89578,0.47773,0.49439,0.26229,1.86861,2.37424,2.80319,1.55942,0.000147498,0.000147498,0.000147498
95,3174.38,1.00028,0.29183,0.77274,1.05645,0.89578,0.47773,0.49264,0.22676,0.89578,0.47773,0.49439,0.26229,1.86861,2.37424,2.80319,1.55942,0.000130472,0.000130472,0.000130472
96,3214.09,0.92192,0.09963,0.8605,1.27297,0.93234,0.47222,0.49099,0.22933,0.93234,0.47222,0.49289,0.27587,1.82997,2.3219,2.86139,1.54063,0.00011305,0.00011305,0.00011305
97,3246.26,0.61327,1.73712,0.62111,0.59439,0.93234,0.47222,0.49099,0.22933,0.93234,0.47222,0.49289,0.27587,1.82997,2.3219,2.86139,1.54063,9.5232e-05,9.5232e-05,9.5232e-05
98,3278.2,0.75582,1.11436,0.97468,1.06908,0.93234,0.47222,0.49099,0.22933,0.93234,0.47222,0.49289,0.27587,1.82997,2.3219,2.86139,1.54063,7.7018e-05,7.7018e-05,7.7018e-05
99,3313.59,1.38291,2.07403,1.33874,1.19737,0.93234,0.47222,0.49099,0.22933,0.93234,0.47222,0.49289,0.27587,1.82997,2.3219,2.86139,1.54063,5.8408e-05,5.8408e-05,5.8408e-05
100,3342.46,1.20118,1.25441,1.06065,1.23,0.88393,0.5,0.49307,0.22738,0.88393,0.5,0.49489,0.27958,1.82159,2.2206,2.83352,1.53303,3.9402e-05,3.9402e-05,3.9402e-05
