epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9083,1.65073,1.01272,21.4294,1.26647,0.04116,0.22222,0.032,0.01308,0.0953,0.36111,0.06753,0.03835,1.77123,0.98651,5.35357,1.43254,0,0,0
2,59.1137,1.64278,1.4236,43.0343,1.37166,0.03634,0.13889,0.0205,0.00895,0.08593,0.33333,0.05948,0.03517,1.69982,0.97261,5.85441,1.38697,1.9802e-05,1.9802e-05,1.9802e-05
3,95.6805,1.85977,0.8283,8.52709,1.16231,0.02513,0.05556,0.01071,0.00517,0.07201,0.25,0.03963,0.02464,1.57545,0.95369,7.20857,1.31649,3.9208e-05,3.9208e-05,3.9208e-05
4,150.899,1.24712,0.90948,6.83497,1.24894,0.06269,0.08333,0.01182,0.0044,0.09635,0.13889,0.04588,0.02433,1.45,0.90119,11.1279,1.26496,5.8218e-05,5.8218e-05,5.8218e-05
5,194.844,1.74548,0.9237,5.08644,1.0348,0.083,0.08333,0.04601,0.02246,0.07309,0.16667,0.08615,0.05397,1.33883,0.8519,15.7978,1.22709,7.6832e-05,7.6832e-05,7.6832e-05
6,249.132,1.30025,0.92075,4.5276,0.99132,0.34057,0.25,0.1833,0.10961,0.38307,0.27778,0.2432,0.14102,1.30184,0.78639,14.1971,1.23026,9.505e-05,9.505e-05,9.505e-05
7,300.241,0.83954,0.52933,4.67895,0.96049,0.22071,0.22222,0.1107,0.05256,0.22071,0.22222,0.14431,0.07676,1.30592,0.7617,12.2357,1.21969,0.000112872,0.000112872,0.000112872
8,337.755,1.13248,0.96197,5.27727,0.87972,0.16679,0.30556,0.11523,0.04951,0.16679,0.30556,0.13448,0.06697,1.30762,0.75088,14.5925,1.1812,0.000130298,0.000130298,0.000130298
9,374.194,1.28495,0.76111,2.90711,1.07045,0.22308,0.27778,0.11603,0.04931,0.20279,0.25,0.11785,0.05339,1.23371,0.73616,18.7675,1.15436,0.000147328,0.000147328,0.000147328
10,411.267,1.6019,1.37063,12.5969,0.84742,0.13908,0.27778,0.09397,0.04011,0.1631,0.25,0.09456,0.04322,1.16079,0.71627,24.6753,1.14694,0.000163962,0.000163962,0.000163962
11,446.686,1.09472,0.56414,6.04279,1.058,0.13716,0.22222,0.06258,0.02888,0.13716,0.22222,0.06042,0.0293,1.08273,0.74224,26.9096,1.11812,0.0001802,0.0001802,0.0001802
12,487.558,1.12218,0.25703,3.73457,0.9234,0.1961,0.25,0.11971,0.0573,0.1961,0.25,0.12092,0.05254,1.08097,0.77975,20.8926,1.10228,0.000196042,0.000196042,0.000196042
13,525.232,1.17764,1.13424,5.11081,0.95018,0.19493,0.27778,0.19943,0.10019,0.19493,0.27778,0.20054,0.10897,1.13434,0.78478,18.8277,1.12543,0.000211488,0.000211488,0.000211488
14,562.847,1.11849,0.53761,2.61323,1.0536,0.07445,0.41667,0.29145,0.14099,0.07445,0.41667,0.29307,0.16306,1.16122,0.84774,21.0137,1.13794,0.000226538,0.000226538,0.000226538
15,603.747,0.6264,0.69701,4.28804,0.97664,0.04147,0.36111,0.10341,0.0555,0.04147,0.36111,0.1309,0.06504,1.1679,0.88002,25.537,1.13075,0.000241192,0.000241192,0.000241192
16,648.577,0.64371,0.51842,3.68308,0.72891,0.03314,0.30556,0.10393,0.0587,0.03314,0.30556,0.10598,0.04915,1.15736,0.80481,31.2195,1.14616,0.00025545,0.00025545,0.00025545
17,682.171,1.38935,4.09472,2.01645,0.98917,0.03828,0.30556,0.18861,0.10605,0.04176,0.33333,0.19304,0.09188,1.20295,0.84587,37.2752,1.19578,0.000269312,0.000269312,0.000269312
18,713.23,1.26946,0.64094,3.15732,1.22245,0.03828,0.30556,0.18861,0.10605,0.04176,0.33333,0.19304,0.09188,1.20295,0.84587,37.2752,1.19578,0.000282778,0.000282778,0.000282778
19,746.536,1.26534,3.83902,1.88989,1.03986,0.09819,0.19444,0.06939,0.04165,0.09819,0.19444,0.07369,0.03826,1.27764,0.809,32.9157,1.24478,0.000295848,0.000295848,0.000295848
20,781.173,1.35968,1.33878,1.88073,1.05155,0.09819,0.19444,0.06939,0.04165,0.09819,0.19444,0.07369,0.03826,1.27764,0.809,32.9157,1.24478,0.000308522,0.000308522,0.000308522
21,821.288,0.99268,1.28673,1.59889,1.02422,0.05027,0.08333,0.04183,0.02422,0.04336,0.25,0.05077,0.02608,1.41838,0.86422,25.4633,1.25992,0.0003208,0.0003208,0.0003208
